sample_id,d13C,lat,long,site_id,group_id
CCP 2-1 A,-5,31.84,-99.45,ZTUA,group1
CCP 2-1 B,-5,31.84,-99.45,ZTUA,group1
CCP 2-3-1 A,-4.7,31.84,-99.45,ZTUA,group1
CCP 2-3-1 B,-4.6,31.84,-99.45,ZTUA,group1
CCP 1-3A,-5.9,31.85,-99.44,ZTUA,group1
CCP 1-3 B,-6,31.85,-99.44,ZTUA,group1
"AC 31-32, (2)",-7.1,33.5,-98.6,MACTX,group1
"ABBA 3-9; ACBBH/R, (4)",-9.4,33.5,-98.6,MACTX,group1
BP 2-1-1,-6.4,33.59,-99.94,ZTUN,group1
BP 2-1-2,-5.9,33.59,-99.94,ZTUN,group1
BP 2-2-2,-12.4,33.59,-99.94,ZTUN,group1
BP 2-2-3,-5.9,33.59,-99.94,ZTUN,group1
BP 2-2-4,-6,33.59,-99.94,ZTUN,group1
BP 2-3-1,-5.9,33.59,-99.94,ZTUN,group1
BP 2-3-2,-5.8,33.59,-99.94,ZTUN,group1
Wil 1-1-1,-9,33.61,-99.99,ZTLP,group1
Wil 1-1-2,-6.7,33.61,-99.99,ZTLP,group1
Wil 1-1-3,-6.3,33.61,-99.99,ZTLP,group1
GB-4 A,-5.4,33.68,-99.12,ZTUWR-G,group1
GB-4 B,-5.5,33.68,-99.12,ZTUWR-G,group1
Aur-2 A,-5.1,33.73,-99.14,ZTUWR-A,group1
Aur-2 C,-5.7,33.73,-99.14,ZTUWR-A,group1
MS Car 0-1 A,-3.6,33.74,-99.14,ZTLLK,group1
MS Car 0-1 B,-3.9,33.74,-99.14,ZTLLK,group1
LLK-4 A,-6.5,33.74,-99.14,ZTLLK,group1
LLK-4 B,-6.2,33.74,-99.14,ZTLLK,group1
LLK-7 A,-5.3,33.74,-99.14,ZTLLK,group1
LLK-7 B,-5.6,33.74,-99.14,ZTLLK,group1
LLK-11 A,-5,33.74,-99.14,ZTLLK,group1
LLK-11 B,-4.7,33.74,-99.14,ZTLLK,group1
LLK-12 B,-4.4,33.74,-99.14,ZTLLK,group1
LLK-12 C,-5.1,33.74,-99.14,ZTLLK,group1
LLK-14A,-5.9,33.74,-99.14,ZTLLK,group1
LLK-14 B,-5.5,33.74,-99.14,ZTLLK,group1
SWLK 1-2 A,-3.3,33.74,-99.21,ZTUL,group1
SWLK 1-2 C,-3.4,33.74,-99.21,ZTUL,group1
SWLK 4-2 A,-5.3,33.74,-99.21,ZTUL,group1
SWLK 4-2 B,-5.2,33.74,-99.21,ZTUL,group1
SWLK 5-1C,-5.4,33.74,-99.21,ZTUL,group1
SWLK 5-1D,-5.4,33.74,-99.21,ZTUL,group1
DKH 1-1-11,-6.6,33.75,-99.14,ZTBL,group1
DKH 1-1-12,-4.7,33.75,-99.14,ZTBL,group1
DKH 1-1-4,-4.5,33.75,-99.14,ZTBL,group1
KW-3 A,-5.9,33.77,-99.77,ZTMCF,group1
KW-3 B,-5.9,33.77,-99.77,ZTMCF,group1
"NBC2 & 4, (3)",-9.5,33.8,-97.7,MNFTX,group1
NLAD 2 & 99,-8.6,33.8,-97.7,MNFTX,group1
CrR 1-1-2,-5.1,33.81,-99.36,ZTLCF-CR1,group1
CrR 1-1-10,-5,33.81,-99.36,ZTLCF-CR1,group1
CrR 1-2-2,-6.4,33.81,-99.36,ZTLCF-CR1,group1
CrR 1-2-7,-6.2,33.81,-99.36,ZTLCF-CR1,group1
CrR 2-1-1,-6.3,33.81,-99.36,ZTLCF-CR1,group1
CrR 2-1-3,-6.5,33.81,-99.36,ZTLCF-CR1,group1
CrR 2-1-4,-6.1,33.81,-99.36,ZTLCF-CR1,group1
MWR 2-1-3,-5.1,33.82,-99.05,ZTMWR,group1
MWR 2-1-4,-5.1,33.82,-99.05,ZTMWR,group1
MWR 2-2-1,-4.8,33.82,-99.05,ZTMWR,group1
MWR 2-2-2,-4.9,33.82,-99.05,ZTMWR,group1
BC-1 A,-5.8,33.82,-99.27,ZTWR-BC1,group1
BC-1 B,-5.6,33.82,-99.27,ZTWR-BC1,group1
BCk 1-1-6,-4.7,33.82,-99.27,ZTLCF-BC1,group1
BCk 1-1-4,-3.4,33.82,-99.27,ZTLCF-BC1,group1
BCk 1-1-5,-3.3,33.82,-99.27,ZTLCF-BC1,group1
BCk 3-1-4,-5.3,33.82,-99.27,ZTLCF-BC3,group1
BCk 3-1-3,-6,33.82,-99.27,ZTLCF-BC3,group1
BCk 3-1-2,-6.2,33.82,-99.27,ZTLCF-BC3,group1
BCk 3-2-1,-5.9,33.82,-99.27,ZTLCF-BC3,group1
BCk 3-2-9,-6,33.82,-99.27,ZTLCF-BC3,group1
CrR 3-1-2,-0.4,33.82,-99.27,ZTLCF-CR3,group1
CrR 3-1-4,0,33.82,-99.27,ZTLCF-CR3,group1
CrR 3-2-2,-0.8,33.82,-99.27,ZTLCF-CR3,group1
CrR 3-2-3,-0.7,33.82,-99.27,ZTLCF-CR3,group1
CrR 3-3-3,-5.2,33.82,-99.27,ZTLCF-CR3,group1
CrR 3-3-8,-6,33.82,-99.27,ZTLCF-CR3,group1
BC-4 A,-4.6,33.83,-99.28,ZTWR-BC2,group1
BC-4 B,-4.4,33.83,-99.28,ZTWR-BC2,group1
BCk 2-4-3,-4.1,33.83,-99.28,ZTLCF-BC2,group1
BCk 2-4-5,-4.1,33.83,-99.28,ZTLCF-BC2,group1
MgR 2-1-3,-5,33.83,-99.63,ZTUCFMR,group1
MgR 2-1-6,-4.9,33.83,-99.63,ZTUCFMR,group1
BCk 4-1-1,-5.3,33.84,-99.28,ZTLCF-BC4,group1
BCk 4-1-7,-5.4,33.84,-99.28,ZTLCF-BC4,group1
MgR 4-1-4,-0.9,33.84,-99.62,ZTUCF,group1
MgR 4-1-8,-1,33.84,-99.62,ZTUCF,group1
"BF 1-7, (5)",-6.1,34,-106.9,MBFNM,group2
Station A,-5.8,34.1,-106.9,LTAF,group2
Station C-1,-5.6,34.1,-106.9,LTAF,group2
Station C-2,-6,34.1,-106.9,LTAF,group2
Station D-1,-6.2,34.1,-106.9,LTAF,group2
Station D-2A,-6.1,34.1,-106.9,LTAF,group2
Station D-2B,-6.4,34.1,-106.9,LTAF,group2
Station E-1,-5.9,34.1,-106.9,LTAF,group2
Station E-2,-5.6,34.1,-106.9,LTAF,group2
Unit 6,-5.56,35.4,-105.5,TLSDC,group2
Unit 19,-6.25,35.4,-105.5,TLSDC,group2
Unit 51,-4.65,35.4,-105.5,TLSDC,group2
Unit 53,-4.8,35.4,-105.5,TLSDC,group2
Unit 60,-5.7,35.4,-105.5,TLSDC,group2
East Quarry 14A,-6.58,35.4,-105.5,TLSDC,group2
East Quarry 14B,-7.07,35.4,-105.5,TLSDC,group2
EC-1,-6.3,36.3,-106.3,TLCB,group2
EC-2,-6.2,36.3,-106.3,TLCB,group2
EC-3,-8.1,36.3,-106.3,TLCB,group2
EC-4,-5,36.3,-106.3,TLCB,group2
EC-5,-8.7,36.3,-106.3,TLCB,group2
EC-6,-4.5,36.3,-106.3,TLCB,group2
EC-7,-4.9,36.3,-106.3,TLCB,group2
EC-8,-4.7,36.3,-106.3,TLCB,group2
EC-9,-5.4,36.3,-106.3,TLCB,group2
EC-10,-6.2,36.3,-106.3,TLCB,group2
EC-11,-5.5,36.3,-106.3,TLCB,group2
EC-12,-5.2,36.3,-106.3,TLCB,group2
EC-13,-5.9,36.3,-106.3,TLCB,group2
EC-14,-5.9,36.3,-106.3,TLCB,group2
EC-15,-5.4,36.3,-106.3,TLCB,group2
EC-16,-6.6,36.3,-106.3,TLCB,group2
EC-17,-5.9,36.3,-106.3,TLCB,group2
EC-18,-6.3,36.3,-106.3,TLCB,group2
EC-19,-5.7,36.3,-106.3,TLCB,group2
EC-20,-6.6,36.3,-106.3,TLCB,group2
"N1: 1-2, (2)",-4.2,34.3,-111.1,MKRAZ,group3
"S4, (3)",-5.4,35.2,-111.6,MHSAZ,group3
"S2, (2)",-6.7,35.2,-111.6,MHSAZ,group3
"HAL 1-4, 7, 9, 12, 17, 18, 22, 25-26, 48, (16)",-4,36.8,-110.7,MUHAZ,group3
"HT 1-3, (7)",-3.4,37.2,-110,MHT,group3
"A 3-10, (11)",-5.6,33,-107,MAFNM,group3
"CH 8, (4)",-7.3,38.9,-88.3,MBLIB,group4
"CHA 2, (2)",-7.5,38.9,-88.3,MBLIB,group4
"ELY 5, (6)",-7.5,39,-88.1,MNLIB,group4
"CHA 1, (2)",-6.5,39,-88.1,MNLIB,group4
"CH 3, (1)",-6.8,39,-88.1,MNLIB,group4
"ELY 30-32, (5)",-8.1,39,-88,MIB,group4
"CHA 8, (3)",-8.1,39,-88,MIB,group4
"ELY 36 & 37, (4)",-7.7,39,-88,MIB,group4
"CH 16, (4)",-8.3,39,-88,MIB,group4
"CH 21, (3)",-8.1,39,-88,MIB,group4
"ELY 44 & 42, (4)",-8,39,-88,MIB,group4
"ELY 48, (2)",-8.9,39,-88,MIB,group4
"LSC 17 & 21, (6)",-8.4,39,-88,MIB,group4
"CH 25 & CHA 10, (6)",-8.2,39,-88,MIB,group4
"CH 29, (4)",-8.3,39,-88,MIB,group4
"LSC 11-12, 14, (6)",-8.2,39,-88,MIB,group4
"CHA 11 & CH 29, (8)",-7.4,39,-88,MIB,group4
"CHA 14 & CH 32, (2)",-8.5,39,-88,MIB,group4
"LSC 24, (2)",-7.6,39,-88,MIB,group4
