Sample (n),Strat Marker/Bed Unit,Location,Age_Ma,Soil Order/Type,d13C,Lat,Long,,
"HT 1-3, (7)","Honaker Trail Fm, UT",,300.2,sandy calcisols,-3.4,37.2,-110,,
"N1: 1-2, (2)","Hermit Shale Fm, Kohl’s Ranch, AZ",,299.9,calcisols,-4.2,34.3,-111.1,,Montanez 2016
"BF 1-7, (5)","Bursum Fm, Socorro, NM",,299.7,calcisols,-6.1,34,-106.9,,Zhu & Tabor 2021
"HAL 1-4, 7, 9, 12, 17, 18, 22, 25-26, 48, (16)","upper Halgaito Fm, AZ",,299.5,silty calcisols,-4,36.8,-110.7,,Tanner & Lucas 2018
"S4, (3)","Hermit Shale Fm, Flagstaff, AZ (upper set)",,298.6,muddy calcisols,-5.4,35.2,-111.6,,Lucas & Tanner 2021
"S2, (2)","Hermit Shale Fm, Flagstaff, AZ (lower set)",,298.5,muddy calcisols,-6.7,35.2,-111.6,,Rosenau 2013
"AC 31-32, (2)","middle Archer City Fm, stratotype (SS5), nc-TX",,298.2,calcic vertisols,-7.1,33.5,-98.6,,Tanner & Lucas 2017
"ABBA 3-9; ACBBH/R, (4)","upper Archer City Fm bonebed (SS8), nc-TX",,298,alfisols,-9.4,33.5,-98.6,,
"NBC2 & 4, (3)","basal Nocona Fm, coprolite bonebed, nc-TX",,297.4,calcic vertisols,-9.5,33.8,-97.7,,
NLAD 2 & 99,"middle Nocona Fm, nc-TX",,296.8,calcic vertisols,-8.6,33.8,-97.7,,
"A 3-10, (11)","Abo Fm, Socorro to Las Cruces, NM",,296.7,calcic vertisols,-5.6,33,-107,,
"Dunkard 4-10, (12)","Greene Fm, Dunkard Gp. Appal. Basin",,296,calcic vertisols,-8.9,39.8,-80.2,,
"GRE 2 & 3, (4)","Greene Fm, Dunkard Gp. Appal. Basin",,296,calcic vertisols,-8,39.8,-80.2,,
"DUN 1-3, (6)","Washington Fm, Dunkard Gp. Appal. Basin",,298,calcic vertisols,-9,40.1,-80.2,,
"WASH 1, (2)","Washington Fm, Dunkard Gp. Appal. Basin",,299,calcic vertisols,-11.7,40.1,-80.2,,
"KQ 11, (8)","Q4 Limestone, Donets Basin",,299.3,argillisol,-6.4,49,38.3,,
"1763: 1-3, (5)","Washington Fm, Dunkard Gp. Appal. Basin",,299.5,calcic vertisols,-10.3,39.7,-80.1,,
"P5-1, (2)","P5-1 Limestone, Donets Basin",,299.5,calcisol,-6.9,49,38.3,,
KV180A (2),"Waynesburg Fm, Dunkard Gp, Appal. Basin",,300.4,calcic vertisol,-6.5,39.9,-80.2,,
"18902, (8)","Monongahela Gp, Fishpot Lmst. Appal. Basin",,300.4,vertisol,-7.3,40.2,-79.9,,
"P4-P5, (2)","P4 & P5 limestones, Donets Basin",,300.6,calcic vertisol,-7,49,38.3,,
"KV182: 1 & 2, (2)","upper Conemaugh Gp, Appal. Basin",,301,calcic vertisol,-7,40,-80.5,,
"ELY 10, (4)","Greenup Limestone, Illinois Basin",,301.8,calcisol,-7.4,39.2,-88.1,,
"ELY 5, (6)","Shamrock/Newton Lmst, , Illinois Basin",,302.2,gleyed calcic Vertisol,-7.5,39,-88.1,,
